ecole,addr,lycee,groupe_scolaire,institut
Ecole Paul Eluard,"8, rue des Flamants ",0,0,0
Ecole Pédago Junior,"bd El Qods, lot. Lhamra, Ain Chock",0,0,0
Institution Alfarabi,"3, rue Franklin ",0,0,1
Institution AlHikma,"24, rue Amyot, q. les Hôpitaux",0,0,1
Institution AlIfada  Privée,"21, bd Oulad Haddou, Krimat",0,0,1
Institution Alirfane,"lotiss. Mandarona, rue 25",0,0,1
Institution AlManbat,"253, bd Oued Oum Errabia ",0,0,1
Institution An'nasr,"hay Omar Ibn Khattab, rue 17",0,0,1
Institution Belkhir,"bd Mohamed Jamal Addorra, résid. El Hamd rue 3, n°153 z.i.",0,0,1
Institution Boudour,"lotiss. Badr -ex Vermont, rue 9 n°13",0,0,1
Institution Chems,"6, rue Ibn Zanbaa -ex Neufchatel ",0,0,1
Institution Chniber,"69, avenue Mohamed Sijelmassi -ex Phare ",0,0,1
Institution Chniber 2,"rue Jabal Aroui, hay Salam",0,0,1
Institution du Boulevard Mohammed V,"34, rue Ahmed Fariss -ex Jacques Cartier ",0,0,1
Institution El Hansali  Privé,"lot. Smara, rue 7 n°30",0,0,1
Institution ElAnbar,"hay El Qods, grp. Zenata II n°353",0,0,1
Institution ElIbrahimi,"24, bd Oued Moulouya ",0,0,1
Institution ElKatakit,"hay El Qods, grp. Zenata 4 n°132",0,0,1
Institution Elmanahil,"2, avenue de Nice ",0,0,1
Institution Elouatki Kaoukabi,"bd Abdelhadi Boutaleb ex rte d'Azemmour, rue 3 n°4, lots Wakanati",0,0,1
Institution Ennajah,"43, lotiss. Najah , Sidi Maârouf",0,0,1
Institution Errachidia,"97, bd Anoual -ex Felix Faure ",0,0,1
Groupe Scolaire Canina  Privé,"116, bd Chefchaouni ",0,1,0
Groupe Scolaire Casa Hills,"cité Sidi Bernoussi, résid. El Badr (auto-route Casa/Rabat km 12)",0,1,0
Groupe Scolaire Charaf,"29, lotiss. Charaf , Sidi Maârouf",0,1,0
Groupe Scolaire Clair de Lune (G.s.c.l),"quartier Beausite, 41 lotiss. Kamalia, Aïn Sebaâ",0,1,0
Groupe scolaire d'Anfa,"81, bd Ghandi ",0,1,0
Groupe Scolaire Dar El Hikma El Mountazah,"hay Alwalaa, ElMountazah Attacharok",0,1,0
Groupe Scolaire Dar El Hikma El Mountazah,"hay El Qods, grp. Zenata n°448",0,1,0
Groupe Scolaire de Bourgogne,"232, bd de Bourgogne ",0,1,0
Groupe Scolaire Didi,"lotiss. Al Hamd, rue 4 n°17",0,1,0
Groupe Scolaire El Bilia d'Anfa,"87, bd Abdellatif Ben Kaddour ",0,1,0
Groupe Scolaire ElFatiha,"pl. Boumerdass , hay Najah Sidi Maârouf",0,1,0
Groupe Scolaire ElMajd,"hay Sadri (Bournazel) rue 5, grp.2",0,1,0
