ecole,addr
Groupe Scolaire L'Elite,"hay El Osra 2, rue 50 n°56"
Groupe Scolaire l'Escalade,"21, bd Dakhla -ex H "
Groupe Scolaire l'Horizon,"lotiss. Al Moustakbal, Sidi Maârouf"
Groupe scolaire la cascade,"hay Rahma rue 10, n°34"
Groupe Scolaire la Compétence Scientifique (G.s.c.s),"60, quartier Beausite, lotiss. Kamilia"
Groupe Scolaire la Confiance,"hay Warda, rue 29 n°29"
Groupe Scolaire la Découverte,"quartier Oulad Taleb, rue 70 n°7"
Groupe Scolaire la farandole,bd Abdelhadi Boutaleb ex rte d'Azemmour 
Groupe Scolaire la Joconde,"bd Koliyate ang. bd H H, lot. Essafa"
Groupe Scolaire La Mission,"92, bd Abderrahim Bouabid -ex Jerrada, Oasis"
Groupe Scolaire la Nouvelle Institution,"Hay ElFath 3, rue 20 villa 25/27"
Espace Eveil,"36, av. de l' Ermitage "
Espace Nezha  Privé,"avenue de Nador, lotiss. Ihssane n°55"
Etablissement Hachad  Prive,"113, hay Nassim "
Etablissement Imane  Privé,"hay Rahma, rue 8 n°2"
Etablissement La Performance  Privé,"hay Sidi Moumen, lotiss. Essabah, rue 17, n°35"
Etablissement Nobel Assalam  Privé,"av Mohamed Zefzaf -ex A, lot. Attacharouk M35"
Etablissement Salaheddine  Privé    (E.s.p),"Hay ElFath 3, rue 1 n°19"
Etablissement Scolaire Al Fatiha Oum Al Kitab,"75, lotis. Amin "
Etablissement Scolaire l'Etoile Filante,"36, rue Tamaarouft -ex Alma "
Etablissement Scolaire Louis Bertrand  Privé,"80, rue des Papillons, Oasis"
Etablissement Scolaire Val d'Anfa,bd Driss Slaoui -ex Témara 
Etablissement Scolaire Val d'Anfa II,rue Ibn Hamdis - ex Cugnot 
Ets  Abourabia  Privé,"117, avenue Makdad Lahrizi "
ets AlFaihaa  Privé,"367, avenue Khalifa Ben Ismaïl, hay Rahma"
